source_file,source_section,serial_number,programme_code,programme_name,award_level,pathway_type,admission_capacity,duration_years,notes
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",1,UD001,Bachelor of Arts in Archaeology,Bachelor's Degree,degree,52,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",2,UD002,Bachelor of Arts in Economics,Bachelor's Degree,degree,270,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",3,UD003,Bachelor of Arts in Archaeology and History,Bachelor's Degree,degree,57,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",4,UD004,Bachelor of Arts in Geography and Environmental Studies,Bachelor's Degree,degree,238,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",5,UD005,Bachelor of Arts in Heritage Management,Bachelor's Degree,degree,95,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",6,UD006,Bachelor of Arts in History,Bachelor's Degree,degree,100,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",7,UD007,Bachelor of Arts in Language Studies,Bachelor's Degree,degree,100,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",8,UD008,Bachelor of Arts in Literature,Bachelor's Degree,degree,95,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",9,UD009,Bachelor of Arts in Political Science and Public Administration,Bachelor's Degree,degree,250,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",10,UD010,Bachelor of Arts in Sociology,Bachelor's Degree,degree,198,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",11,UD011,Bachelor of Science in Statistics,Bachelor's Degree,degree,176,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",12,UD012,Bachelor of Arts with Education,Bachelor's Degree,degree,1386,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",13,UD013,Bachelor of Science in Chemical and Process Engineering,Bachelor's Degree,degree,60,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",14,UD014,Bachelor of Science in Computer Engineering and Information Technology,Bachelor's Degree,degree,70,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",15,UD015,Bachelor of Science in Electrical Engineering,Bachelor's Degree,degree,67,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",16,UD016,Bachelor of Science in Mining Engineering,Bachelor's Degree,degree,40,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",17,UD017,Bachelor of Science in Textile Engineering,Bachelor's Degree,degree,40,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",18,UD018,Bachelor of Science in Textile Design and Technology,Bachelor's Degree,degree,35,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",19,UD019,Bachelor of Science in Telecommunications Engineering,Bachelor's Degree,degree,70,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",20,UD021,Bachelor of Science in Actuarial Sciences,Bachelor's Degree,degree,60,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",21,UD022,Bachelor of Science in Applied Zoology,Bachelor's Degree,degree,50,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",23,UD024,Bachelor of Science in Botanical Sciences,Bachelor's Degree,degree,60,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",24,UD025,Bachelor of Science in Chemistry,Bachelor's Degree,degree,50,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",25,UD026,Bachelor of Science in Engineering Geology,Bachelor's Degree,degree,15,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",26,UD028,Bachelor of Science in Geology,Bachelor's Degree,degree,23,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",27,UD029,Bachelor of Science in Microbiology,Bachelor's Degree,degree,60,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",28,UD030,Bachelor of Science in Molecular Biology and Biotechnology,Bachelor's Degree,degree,60,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",29,UD031,Bachelor of Science in Wildlife Science And Conservation,Bachelor's Degree,degree,50,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",30,UD032,Bachelor of Science with Education,Bachelor's Degree,degree,350,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",31,UD033,Bachelor of Science with Geology,Bachelor's Degree,degree,33,4,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",32,UD034,Bachelor of Science in Computer Science,Bachelor's Degree,degree,113,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",33,UD035,Bachelor of Science in Electronic Science and Communication,Bachelor's Degree,degree,57,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",34,UD037,Bachelor of Arts in Journalism,Bachelor's Degree,degree,40,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",35,UD038,Bachelor of Arts in Mass Communication,Bachelor's Degree,degree,40,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",36,UD039,Bachelor of Arts in Public Relations and Advertising,Bachelor's Degree,degree,65,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",37,UD040,Bachelor of Arts in Kiswahili,Bachelor's Degree,degree,200,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",38,UD041,Bachelor of Commerce in Accounting,Bachelor's Degree,degree,285,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",39,UD042,Bachelor of Commerce in Banking and Financial Services,Bachelor's Degree,degree,114,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",40,UD043,Bachelor of Commerce in Finance,Bachelor's Degree,degree,119,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",41,UD044,Bachelor of Commerce in Human Resource Management,Bachelor's Degree,degree,92,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",42,UD045,Bachelor of Commerce in Marketing,Bachelor's Degree,degree,114,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",43,UD046,Bachelor of Commerce in Tourism Management,Bachelor's Degree,degree,69,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",44,UD049,Bachelor of Education in Early Childhood Education,Bachelor's Degree,degree,80,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",45,UD050,Bachelor of Education in Physical Education and Sports Sciences,Bachelor's Degree,degree,80,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
Admission Guidebook 2025-2026.pdf,"University of Dar es Salaam (UDSM), Dar es Salaam",46,UD052,Bachelor of Arts in Law Enforcement,Bachelor's Degree,degree,40,3,TCU 2025/2026 guidebook for holders of secondary school qualifications.
