source_file,source_section,printed_page,academic_unit,programme_name,award_level,pathway_type,notes
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Agricultural Sciences and Food Technology (CoAF),BSc in Beekeeping Science and Technology,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Agricultural Sciences and Food Technology (CoAF),BSc in Agricultural Engineering and Mechanization,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Agricultural Sciences and Food Technology (CoAF),BSc in Food Science and Technology,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Agricultural Sciences and Food Technology (CoAF),BSc in Agricultural and Natural Resources Economics and Business,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Agricultural Sciences and Food Technology (CoAF),BSc in Crop Science and Technology,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in Archeology,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in Archeology and History,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in Archeology and Geography,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in Communication Studies,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in Diplomatic and Military History,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in Heritage Management,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in Art and Design,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in Theatre Arts,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in Film and Television Studies,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in Philosophy and Ethics,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in Music,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in Language Studies,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in Literature,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in History,Bachelor's Degree,degree,Split from a merged text-extraction line in the source PDF.
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in History and Political Science,Bachelor's Degree,degree,Split from a merged text-extraction line in the source PDF.
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA in History Cultural Heritage Management & Tourism,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA with Education (CoHU),Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Humanities (CoHU),BA with Education (Chinese and English),Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Social Sciences (CoSS),BA in Anthropology,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Social Sciences (CoSS),BA in Geography and Environmental Studies,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Social Sciences (CoSS),BA in Political Science and Public Administration,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Social Sciences (CoSS),BA in Sociology,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Social Sciences (CoSS),BA in Statistics,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Social Sciences (CoSS),BA of Social Work,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Social Sciences (CoSS),BA in Psychology,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Social Sciences (CoSS),BA of Library and Information Studies,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Social Sciences (CoSS),BA with Education (CoSS),Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Engineering and Technology (CoET),BSc in Chemical and Process Engineering,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Engineering and Technology (CoET),BSc in Civil Engineering,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Engineering and Technology (CoET),BSc in Electrical Engineering,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Engineering and Technology (CoET),BSc in Mechanical Engineering,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Engineering and Technology (CoET),BSc in Industrial Engineering,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,31,College of Engineering and Technology (CoET),BSc in Textile Design and Technology,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,32,College of Engineering and Technology (CoET),BSc in Textile Engineering,Bachelor's Degree,degree,
Undergraduate Prospectus 2024-2025 (1).pdf,Undergraduate programmes offered for university certificates diplomas and degrees awards,32,College of Engineering and Technology (CoET),Bachelor of Architecture,Bachelor's Degree,degree,Source notes this is a five-year undergraduate degree programme.
