institution_name,registration_number,registration_number_as_shown,accreditation_status,ownership_type,institution_category,region,district/council,physical_location,website,phone_numbers,email,application_method,has_form_four_direct_programme,official_source_url,source_type,secondary_source_url,secondary_source_type,tcu_matched_name,confidence_level,last_verified_date,notes
ABDULRAHMAN AL-SUMAIT UNIVERSITY,U/TLF/11,(U/TLF/11),Accredited,private,mixed,Zanzibar Urban/West,Magharibi District,Magharibi District - Zanzibar Urban/West,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,Abdulrahman Al-Sumait University (SUMAIT),high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'Abdulrahman Al-Sumait University (SUMAIT)'.
ACCRA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/243,(REG/HAS/243),unknown,private,health,Tanga,Tanga City Council,Tanga City Council - Tanga,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
AFRICA COLLEGE OF INSURANCE AND SOCIAL PROTECTION,REG/NACTVET/1157,(REG/NACTVET/1157),unknown,private,business,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
AGENCY FOR DEVELOPMENT OF EDUCATIONAL MANAGEMENT - MWANZA,REG/PWF/037,(REG/PWF/037),unknown,public,mixed,Mwanza,Ilemela Municipal Council,Ilemela Municipal Council - Mwanza,,,,direct institution,no,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
AGENCY FOR THE DEVELOPMENT OF EDUCATIONAL MANAGEMENT - BAGAMOYO,REG/PWF/020,(REG/PWF/020),unknown,public,mixed,Pwani,Bagamoyo District Council,Bagamoyo District Council - Pwani,,,,direct institution,no,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
AGENCY FOR THE DEVELOPMENT OF EDUCATIONAL MANAGEMENT - MBEYA,REG/TLF/143,(REG/TLF/143),unknown,public,teacher training,Mbeya,Mbeya City Council,Mbeya City Council - Mbeya,,,,direct institution,no,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
AL-HARAMAIN PROFESSIONAL COLLEGE,REG/BTP/143P,(REG/BTP/143P),unknown,private,business,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
AL-MAKTOUM COLLEGE OF ENGINEERING AND TECHNOLOGY,REG/EOS/039,(REG/EOS/039),unknown,private,mixed,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
AMANI COLLEGE OF MANAGEMENT AND TECHNOLOGY (ACMT) - NJOMBE,REG/BTP/020,(REG/BTP/020),unknown,private,business,Njombe,Njombe District Council,Njombe District Council - Njombe,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
AMANI INSTITUTE OF SIGN LANGUAGE AND INTERPRETATION,REG/BTP/210P,(REG/BTP/210P),unknown,private,mixed,Mbeya,Mbeya City Council,Mbeya City Council - Mbeya,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
