programme_name,normalized_programme_name,award_level,field_category,institution_name,institution_registration_number,minimum_entry_requirements,required_subjects,duration,fees_if_available,mode,campus_location,admission_capacity,entry_route_types,accepts_form_four_direct,accreditation_status_if_available,application_link,official_source_url,source_type,secondary_source_url,secondary_source_type,confidence_level,last_verified_date,notes
Ordinary Diploma in Arts with Education,ordinary diploma in arts with education,ordinary diploma,education,ABDULRAHMAN AL-SUMAIT UNIVERSITY,U/TLF/11,Certificate in Arts with Education or Certificate of Teachers Education Grade III A,,2 years,"Local Fee: TSH. 750,000/=; Foreigner Fee: USD 312/=",unknown,Magharibi District - Zanzibar Urban/West,100,Certificate,no,Accredited,,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,high,2026-04-24,Accreditation status inherited from the matched university/university college record in the TCU institution list.
Ordinary Diploma in Business Information Technology,ordinary diploma in business information technology,ordinary diploma,ICT,ABDULRAHMAN AL-SUMAIT UNIVERSITY,U/TLF/11,"CSEE with 4+ non-religious passes including Basic Mathematics and English Language or NVA Level III or Trade Test Grade I with a CSEE | NTA Level 4/BTC in Business Information Technology, Information Technology, Computer Sciences/Engineering or ACSEE with 1 principal + 1 subsidiary",Basic Mathematics; English Language; English,3 years or 2 years,"Local Fee: TSH. 750,000/=",unknown,Magharibi District - Zanzibar Urban/West,100,CSEE; ACSEE; NTA Level 4; NVA Level III; Trade Test Grade I,yes,Accredited,,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,high,2026-04-24,Combined 2 entry route(s) from the guidebook. Accreditation status inherited from the matched university/university college record in the TCU institution list.
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,ordinary diploma,ICT,ABDULRAHMAN AL-SUMAIT UNIVERSITY,U/TLF/11,CSEE with 4+ non-religious passes including passes in Basic Mathematics and English Language | NTA Level 4/BTC in Computing and Information Technology or ACSEE with 1 principal + 1 subsidiary,Basic Mathematics; English Language; English,3 years or 2 years,"Local Fee: TSH. 750,000/=; Foreigner Fee: USD 312/=",unknown,Magharibi District - Zanzibar Urban/West,200,CSEE; ACSEE; NTA Level 4,yes,Accredited,,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,high,2026-04-24,Combined 2 entry route(s) from the guidebook. Accreditation status inherited from the matched university/university college record in the TCU institution list.
Ordinary Diploma in Counselling and Psychology,ordinary diploma in counselling and psychology,ordinary diploma,social work,ABDULRAHMAN AL-SUMAIT UNIVERSITY,U/TLF/11,CSEE with 4+ non-religious passes or NVA Level III with At Least two Passes in CSEE | NTA 4 in Counseling Psychology and related fields or form VI with at least one Principal and a subsidiary pass excluding religious subjects,,3 years or 2 years,"Local Fee: TSH. 750,000/=",unknown,Magharibi District - Zanzibar Urban/West,100,CSEE; NVA Level III,yes,Accredited,,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,high,2026-04-24,Combined 2 entry route(s) from the guidebook. Accreditation status inherited from the matched university/university college record in the TCU institution list.
Ordinary Diploma in Office Administration,ordinary diploma in office administration,ordinary diploma,business,ABDULRAHMAN AL-SUMAIT UNIVERSITY,U/TLF/11,"CSEE with 4+ non-religious passes including English Language | NTA Level 4/BTC in Office Administration, Secretarial Studies or ACSEEs (ACSEE) with 1 principal + 1 subsidiary",English Language; English,3 years or 2 years,"Local Fee: TSH. 750,000/=",unknown,Magharibi District - Zanzibar Urban/West,100,CSEE; ACSEE; NTA Level 4,yes,Accredited,,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,high,2026-04-24,Combined 2 entry route(s) from the guidebook. Accreditation status inherited from the matched university/university college record in the TCU institution list.
Ordinary Diploma in Science with Education,ordinary diploma in science with education,ordinary diploma,education,ABDULRAHMAN AL-SUMAIT UNIVERSITY,U/TLF/11,"CSEE with Minimum of Division III with at least two (2) passes in Science Subjects (Physics, Chemistry, Biology, Mathematics and Geography)",Biology; Chemistry; Physics; Mathematics; Geography,2 years,"Local Fee: TSH. 1,100,000/=; Foreigner Fee: USD 458/=",unknown,Magharibi District - Zanzibar Urban/West,200,CSEE,yes,Accredited,,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,high,2026-04-24,Accreditation status inherited from the matched university/university college record in the TCU institution list.
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,ordinary diploma,health,ACCRA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/243,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,550,000/=",unknown,Tanga City Council - Tanga,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Commercial Insurance,ordinary diploma in commercial insurance,ordinary diploma,business,AFRICA COLLEGE OF INSURANCE AND SOCIAL PROTECTION,REG/NACTVET/1157,CSEE with 4+ non-religious passes | NTA Level 4/BTC in Commercial Insurance,,3 years or 2 years,"Local Fee: TSH. 5,000,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,100,CSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
"Ordinary Diploma in Educational Leadership, Management and Administration",ordinary diploma in educational leadership management and administration,ordinary diploma,education,AGENCY FOR DEVELOPMENT OF EDUCATIONAL MANAGEMENT - MWANZA,REG/PWF/037,"NTA Level 4/BTC in Educational Leadership, Management and Administration, Muka, Grade Iiia Teachers Certificate Education, Diploma in Teachers Education and Bachelor Degree in Education with At Least three Years of Working Experience",,2 years,"Local Fee: TSH. 850,000/=",unknown,Ilemela Municipal Council - Mwanza,400,NTA Level 4; Certificate; Work experience; Degree,no,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in School Quality Assurance,ordinary diploma in school quality assurance,ordinary diploma,other,AGENCY FOR DEVELOPMENT OF EDUCATIONAL MANAGEMENT - MWANZA,REG/PWF/037,"NTA Level 4/BTC in Education Management and Administration, Muka, Grade Iiia Teachers Certificate Education, Diploma in Teachers Education and Bachelor Degree in Education with At Least three Years of Working Experience",,2 years,"Local Fee: TSH. 850,000/=",unknown,Ilemela Municipal Council - Mwanza,100,NTA Level 4; Certificate; Work experience; Degree,no,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
