programme_name,normalized_programme_name,institution_name,normalized_institution_name,raw_requirement_text,accepts_form_four_direct,accepts_form_six,accepts_certificate,accepts_diploma,accepts_equivalent,minimum_csee_division_if_available,minimum_acsee_principal_passes_if_available,minimum_points_if_available,required_subjects,required_subject_grades_if_available,required_prior_field_if_available,bridge_or_foundation_required,eligibility_confidence,official_source_url,notes
Ordinary Diploma in Arts with Education,ordinary diploma in arts with education,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,Holders of Certificate in Arts with Education or Certificate of Teachers Education Grade III A,no,no,yes,no,no,,,,,,Arts,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Business Information Technology,ordinary diploma in business information technology,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,"Holders of Basic Technician Certificate (NTA Level 4) in Business Information Technology, Information Technology, Computer Sciences/Engineering OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects.",no,yes,yes,no,no,,,,Computer Science,,"Business Information Technology, Information Technology, Computer Sciences/Engineering",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Business Information Technology,ordinary diploma in business information technology,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects including Basic Mathematics and English Language OR National Vocational Award (NVA) Level III or Trade Test Grade I with a Certificate of Secondary Education Examination (CSEE),yes,no,yes,no,yes,four CSEE passes,,,Basic Mathematics; English; English Language; Mathematics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,Holders of Basic Technician Certificate (NTA Level 4) in Computing and Information Technology OR Advanced Certificate of Secondary Education (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects.,no,yes,yes,no,no,,,,,,Computing and Information Technology,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in Non-religious subjects including passes in Basic Mathematics and English Language.,yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; English; English Language; Mathematics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Counselling and Psychology,ordinary diploma in counselling and psychology,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious subjects or National Vocational Award (NVA) Level III with At Least two Passes in Certificate of Secondary Education Examination (CSEE).,yes,no,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Counselling and Psychology,ordinary diploma in counselling and psychology,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,Holders of NTA 4 in Counseling Psychology and related fields or form VI with at least one Principal and a subsidiary pass excluding religious subjects.,no,yes,no,no,no,,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Office Administration,ordinary diploma in office administration,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,"Holders of Basic Technician Certificate (NTA Level 4) in Office Administration, Secretarial Studies OR Advanced Certificate of Secondary Education Examinations (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects.",no,yes,yes,no,no,,,,,,"Office Administration, Secretarial Studies",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Office Administration,ordinary diploma in office administration,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects including English Language.,yes,no,no,no,no,four CSEE passes,,,English; English Language,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Science with Education,ordinary diploma in science with education,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,"Holders of Certificate of Secondary Education Examination (CSEE) with Minimum of Division III with at least two (2) passes in Science Subjects (Physics, Chemistry, Biology, Mathematics and Geography)",yes,no,no,no,no,Division III,,,Biology; Chemistry; Geography; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
