institution_name,normalized_institution_name,website,admissions_url,application_url,phone_numbers,email,logo_url,logo_source_url,logo_status,official_source_url,source_type,confidence_level,last_verified_date,notes,needs_review,review_reasons
ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
Abdulrahman Al- Sumait University (SUMAIT),abdulrahman al sumait sumait,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
Institute of Accountancy Arusha (IAA),accountancy arusha iaa,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - BABATI CAMPUS,accountancy arusha iaa babati campus,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DAR ES SALAAM CAMPUS,accountancy arusha iaa dar es salaam campus,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DODOMA CAMPUS,accountancy arusha iaa dodoma campus,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - SONGEA CAMPUS,accountancy arusha iaa songea campus,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
ACCRA COLLEGE OF HEALTH AND ALLIED SCIENCES,accra health allied sciences,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ADULT EDUCATION - DAR-ES-SALAAM,adult education dar es salaam,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
Institute of Adult Education (IAE),adult education iae,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
INSTITUTE OF ADULT EDUCATION - MOROGORO,adult education morogoro,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ADULT EDUCATION - MWANZA,adult education mwanza,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ADULT EDUCATION - SONGEA,adult education songea,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
AFRICA COLLEGE OF INSURANCE AND SOCIAL PROTECTION,africa insurance social protection,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
