institution_name,normalized_institution_name,abbreviation_or_aliases,registration_number,regulator,accreditation_status,ownership_type,institution_type,region,district_or_council,campus_name,physical_location,mainland_or_zanzibar,website,admissions_url,application_url,phone_numbers,email,logo_url,logo_source_url,logo_status,official_source_url,source_type,confidence_level,last_verified_date,notes,needs_review,review_reasons
ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,U/TLF/11,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,University offering NTA programmes,Zanzibar Urban/West,Magharibi District,,,Zanzibar,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,IAA,REG/BMG/002,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Arusha,Arusha District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - BABATI CAMPUS,accountancy arusha iaa babati campus,IAA,REG/BTP/021,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Manyara,Babati Town Counci,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DAR ES SALAAM CAMPUS,accountancy arusha iaa dar es salaam campus,IAA,REG/BTP/022,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Dar es Salaam,Kinondoni Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DODOMA CAMPUS,accountancy arusha iaa dodoma campus,IAA,REG/BTP/136,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Dodoma,Dodoma Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - SONGEA CAMPUS,accountancy arusha iaa songea campus,IAA,REG/BTP/171,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Ruvuma,Songea Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
ACCRA COLLEGE OF HEALTH AND ALLIED SCIENCES,accra health allied sciences,,REG/HAS/243,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Tanga,Tanga City Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ADULT EDUCATION - DAR-ES-SALAAM,adult education dar es salaam,,REG/PWF/018,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Dar es Salaam,Ilala Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ADULT EDUCATION - MOROGORO,adult education morogoro,,REG/TLF/0140,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Morogoro,Morogoro Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ADULT EDUCATION - MWANZA,adult education mwanza,,REG/TLF/142,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Mwanza,Nyamagana Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
