programme_name,normalized_programme_name,programme_code,award_level,qualification_level,pathway_type,field_category,course_family,institution_name,normalized_institution_name,campus_name,regulator,institution_type,ownership_type,region,district_or_council,duration,study_mode,admission_capacity,fees_if_available,fee_band,application_method,official_source_url,source_type,confidence_level,last_verified_date,notes,needs_review,review_reasons
Ordinary Diploma in Arts with Education,ordinary diploma in arts with education,,Ordinary Diploma,NTA Level 6,diploma,Education,Education,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,NACTVET,University offering NTA programmes,Private,Zanzibar Urban/West,Magharibi District,2,,100,"Local Fee: TSH. 750,000/= , Foreigner Fee: USD 312/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Business Information Technology,ordinary diploma in business information technology,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,Business & Management,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,NACTVET,University offering NTA programmes,Private,Zanzibar Urban/West,Magharibi District,3; 2,,100,"Local Fee: TSH. 750,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,ICT,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,NACTVET,University offering NTA programmes,Private,Zanzibar Urban/West,Magharibi District,3; 2,,200,"Local Fee: TSH. 750,000/= , Foreigner Fee: USD 312/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Counselling and Psychology,ordinary diploma in counselling and psychology,,Ordinary Diploma,NTA Level 6,diploma,Social Sciences & Community Development,Social Work & Community Development,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,NACTVET,University offering NTA programmes,Private,Zanzibar Urban/West,Magharibi District,3; 2,,100,"Local Fee: TSH. 750,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Office Administration,ordinary diploma in office administration,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,NACTVET,University offering NTA programmes,Private,Zanzibar Urban/West,Magharibi District,3; 2,,100,"Local Fee: TSH. 750,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Science with Education,ordinary diploma in science with education,,Ordinary Diploma,NTA Level 6,diploma,Education,Education,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,NACTVET,University offering NTA programmes,Private,Zanzibar Urban/West,Magharibi District,2,,200,"Local Fee: TSH. 1,100,000/= , Foreigner Fee: USD 458/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,800; 400,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Accountancy with Information Technology,ordinary diploma in accountancy with information technology,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,Accounting & Finance,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,200,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Business Management,ordinary diploma in business management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,500; 240,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Business Management with Chinese Language,ordinary diploma in business management with chinese language,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,500,"Local Fee: TSH. 900,000/= , Foreigner Fee: USD 450/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
