institution_name,normalized_institution_name,registration_number,regulator,accreditation_status,ownership_type,institution_type,region,district_or_council,physical_location,mainland_or_zanzibar,website,phone_numbers,email,application_method,official_source_url,source_type,confidence_level,last_verified_date,notes
Al harmain,al harmain,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
Arafah,arafah,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
Bishorp Daniel,bishorp daniel,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
COMMUNITY BASED CONSERVATION TRAINING CENTRE - LIKUYU SEKAMAGANGA,community based conservation training centre likuyu sekamaganga,REG/SAT/046,NACTVET,,public,technical college,,,,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Chuo cha Maendeleo ya Wananchi Arnautoglu,chuo cha maendeleo ya wananchi arnautoglu,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Chilala,chuo cha maendeleo ya wananchi chilala,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Chisalu,chuo cha maendeleo ya wananchi chisalu,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Gera,chuo cha maendeleo ya wananchi gera,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Handeni,chuo cha maendeleo ya wananchi handeni,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Ikwiriri,chuo cha maendeleo ya wananchi ikwiriri,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Ilula,chuo cha maendeleo ya wananchi ilula,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Karumo,chuo cha maendeleo ya wananchi karumo,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
Chuo cha Maendeleo ya Wananchi Kasulu,chuo cha maendeleo ya wananchi kasulu,,Ministry,,public,community development/social work college,,,,Mainland,,,,unknown,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,medium,2026-04-24,Listed on ministry page under public colleges. Programme details require institution-level verification.
