programme_name,normalized_programme_name,award_level,field_category,institution_name,institution_registration_number,regulator,minimum_entry_requirements,required_subjects,suitable_for_form_four_leaver,duration,fees_if_available,study_mode,campus_location,accreditation_status_if_available,application_link,official_source_url,source_type,confidence_level,last_verified_date,notes
Bachelor of Arts in,bachelor arts,degree,arts,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,TCU,"Two principal passes in the following subjects: History Counselling Psychology Geography, Kiswahili, English Language, Literature in English, French, Arabic, Fine Arts, Economics, Commerce Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",Advanced Mathematics; Biology; Chemistry; Physics; English Language; Geography; History; Kiswahili; Arabic; French; Literature in English; Literature; Commerce; Accountancy; Economics; Computer Science; Nutrition; Agriculture; Fine Arts,no,3,,full-time,Zanzibar,,,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,medium,2026-04-24,Programme code: SUM03; TCU minimum admission points: 4.0; Admission capacity: 70 || Parsed from TCU admission guidebook PDF layout; verify line-break-sensitive rows before public launch.
Bachelor of Arts with Education,bachelor arts with education,degree,education,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,TCU,"Two principal passes in the following subjects: History English, Geography, Kiswahili, Elimu ya Dini ya Kiislam or Arabic.",English; Geography; History; Kiswahili; Arabic,no,3,,full-time,Zanzibar,,,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,medium,2026-04-24,Programme code: SUM01; TCU minimum admission points: 4.0; Admission capacity: 400 || Parsed from TCU admission guidebook PDF layout; verify line-break-sensitive rows before public launch.
Bachelor of Science in,bachelor science,degree,other,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,TCU,"Two principal passes in Physics, Advanced Mathematics Information Technology Geography, Biology, Chemistry, Economics or Accounting.",Advanced Mathematics; Biology; Chemistry; Physics; Geography; Economics,no,3,,full-time,Zanzibar,,,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,medium,2026-04-24,Programme code: SUM04; TCU minimum admission points: 4.0; Admission capacity: 100 || Parsed from TCU admission guidebook PDF layout; verify line-break-sensitive rows before public launch.
Bachelor of Science with Education,bachelor science with education,degree,education,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,TCU,"Two principal passes in the following subjects: Physics Advanced Mathematics, Chemistry,Biology, Computer Science or Geography.",Advanced Mathematics; Biology; Chemistry; Physics; Geography; Computer Science,no,3,,full-time,Zanzibar,,,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,medium,2026-04-24,Programme code: SUM02; TCU minimum admission points: 4.0; Admission capacity: 180 || Parsed from TCU admission guidebook PDF layout; verify line-break-sensitive rows before public launch.
Ordinary Diploma in Arts with Education,ordinary diploma arts with education,ordinary diploma,education,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Duration: 2 year(s); Capacity: 100 || Holders of Certificate in Arts with Education or Certificate of Teachers (Fees: Local Fee: TSH. 750,000/=) || Education Grade III A (Fees: Foreigner Fee: USD 312/=)",,unknown,2,"Local Fee: TSH. 750,000/= || Foreigner Fee: USD 312/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Ordinary Diploma in Business Information Technology,ordinary diploma business information technology,ordinary diploma,ICT,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects including Basic Mathematics and English Language OR National Vocational Award (NVA) Level III or Trade Test Grade I with a Certificate of Secondary Education Examination (CSEE) (Duration: 3 year(s); Capacity: 100; Fees: Local Fee: TSH. 750,000/=) || Holders of Basic Technician Certificate (NTA Level 4) in Business Information Technology, Information Technology, Computer Sciences/Engineering OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects. (Duration: 2 year(s); Capacity: 100)",Basic Mathematics; English Language,yes,3; 2,"Local Fee: TSH. 750,000/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Ordinary Diploma in Computing and Information,ordinary diploma computing information,ordinary diploma,other,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in Non-religious subjects including passes in Basic Mathematics and English Language. Holders of Basic Technician Certificate (NTA Level 4) in Computing and Information Technology OR Advanced Certificate of Secondary Education (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects. (Duration: 3 year(s); Capacity: 200; Fees: Local Fee: TSH. 750,000/= Foreigner Fee: USD 312/=)",Basic Mathematics; English Language,yes,3,"Local Fee: TSH. 750,000/= Foreigner Fee: USD 312/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 200
Ordinary Diploma in Counselling and Psychology,ordinary diploma counselling psychology,ordinary diploma,social work,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious subjects or National Vocational Award (NVA) Level III with At Least two Passes in Certificate of Secondary Education Examination (CSEE). Holders of NTA 4 in Counseling Psychology and related fields or form VI with at least one Principal and a subsidiary pass excluding religious subjects. (Duration: 3 year(s); Capacity: 100; Fees: Local Fee: TSH. 750,000/=)",,yes,3,"Local Fee: TSH. 750,000/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Ordinary Diploma in Office Administration,ordinary diploma office administration,ordinary diploma,business,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects including English Language. Holders of Basic Technician Certificate (NTA Level 4) in Office Administration, Secretarial Studies OR Advanced Certificate of Secondary Education Examinations (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects. (Duration: 3 year(s); Capacity: 100; Fees: Local Fee: TSH. 750,000/=)",English Language,yes,3,"Local Fee: TSH. 750,000/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Ordinary Diploma in Science with Education,ordinary diploma science with education,ordinary diploma,education,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with Minimum of Division III with at least two (2) passes in Science Subjects (Physics, Chemistry, Biology, Mathematics and Geography) (Duration: 2 year(s); Capacity: 200; Fees: Local Fee: TSH. 1,100,000/= Foreigner Fee: USD 458/=) || CATHOLIC UNIVERSITY COLLEGE OF MBEYA (TCU/M.10/1.1) Mbeya City Council - Mbeya Administration, Finance and Banking, Marketing OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects. (Duration: - FBO year(s))",Mathematics; Biology; Chemistry; Physics; Geography,yes,2; - FBO,"Local Fee: TSH. 1,100,000/= Foreigner Fee: USD 458/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 200
